SerialNo,CustomerID,CustomerName,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,ChurnStatus
226,CUST0226,Asma Hussain,48.0,Female,Hyderabad,Standard,1547.64,3,3,1,5.0,2026-02-16,3.6,0
227,CUST0227,Sana Baig,32.0,Female,Sukkur,Premium,2037.88,24,40,2,14.0,2026-05-23,2.1,0
228,CUST0228,Sana Siddiqui,46.0,Female,Sialkot,Standard,891.37,60,93,0,14.0,2026-05-30,3.7,0
229,CUST0229,Rabia Sheikh,55.0,Female,Peshawar,Basic,634.05,18,23,3,,2026-05-23,4.4,0
230,CUST0230,Noor Ali,47.0,Female,Peshawar,Premium,2635.75,52,65,3,26.0,2026-04-28,4.2,0
231,CUST0231,Saima Ali,32.0,Female,Peshawar,Premium,2478.26,15,19,3,8.0,2026-04-21,3.4,0
232,CUST0232,Faraz Butt,33.0,Male,Lahore,Standard,1398.25,5,6,1,17.0,2026-04-22,3.3,1
233,CUST0233,Saad Mirza,26.0,Male,Bahawalpur,Enterprise,4129.48,5,8,3,24.0,2026-04-22,4.2,0
234,CUST0234,Kamran Sheikh,25.0,Male,Islamabad,Basic,503.79,8,18,2,17.0,2026-04-16,4.2,0
235,CUST0235,Usman Butt,60.0,Male,Sargodha,Standard,1019.86,5,9,2,20.0,2026-05-29,3.5,0
236,CUST0236,Lubna Nawaz,29.0,Female,Multan,Premium,3221.82,19,24,1,18.0,2026-03-29,2.5,0
237,CUST0237,Waqar Ali,41.0,Male,Quetta,Standard,1432.36,2,2,2,22.0,2026-04-16,3.0,0
238,CUST0238,Lubna Ahmed,41.0,Female,Multan,Standard,1138.81,54,76,3,22.0,2026-05-12,1.4,1
239,CUST0239,Ayesha Ahmed,39.0,Female,Multan,Premium,2343.24,20,34,1,,2026-04-27,4.0,0
240,CUST0240,Adnan Nawaz,29.0,Male,Hyderabad,Basic,470.49,3,0,3,10.0,2026-05-29,2.2,0
241,CUST0241,Waqar Iqbal,36.0,Male,Gujranwala,Basic,347.28,16,20,1,22.0,2026-05-16,5.0,0
242,CUST0242,Ali Hashmi,51.0,Male,Lahore,Premium,1334.67,21,35,3,,2026-05-05,3.6,0
243,CUST0243,Rizwan Butt,30.0,Male,Karachi,Basic,421.06,2,4,2,30.0,2026-05-03,,1
244,CUST0244,Saima Bhatti,21.0,Female,Sialkot,Basic,583.82,1,5,2,17.0,2026-03-29,3.2,1
245,CUST0245,Saba Ansari,25.0,Female,Sargodha,Basic,493.65,8,9,4,10.0,2026-05-18,3.7,0
246,CUST0246,Sana Siddiqui,31.0,Female,Lahore,Standard,1523.08,60,92,1,10.0,2026-05-19,3.3,0
247,CUST0247,Rida Malik,56.0,Female,Multan,Basic,471.72,19,32,2,16.0,2026-05-30,5.0,0
248,CUST0248,Rabia Baig,40.0,Female,Islamabad,Standard,1549.4,27,45,1,22.0,2026-04-22,5.0,0
249,CUST0249,Asma Baig,29.0,Female,Gujranwala,Premium,2260.25,39,65,4,27.0,2026-05-23,3.3,0
250,CUST0250,Junaid Bhatti,27.0,Male,Multan,Basic,399.19,4,5,4,21.0,2026-05-23,2.4,1
251,CUST0251,Faraz Rana,37.0,Male,Rawalpindi,Basic,555.33,7,8,2,20.0,2026-04-12,2.3,1
252,CUST0252,Imran Sheikh,43.0,Male,Hyderabad,Premium,2879.77,3,3,0,12.0,2026-05-08,4.0,0
253,CUST0253,Faraz Nawaz,36.0,Male,Islamabad,Standard,1136.77,7,9,4,20.0,2026-04-04,4.1,0
254,CUST0254,Adnan Butt,33.0,Male,Bahawalpur,Standard,1079.09,2,0,3,6.0,2026-06-01,4.2,0
255,CUST0255,Waqar Nawaz,42.0,Male,Faisalabad,Premium,3164.47,25,40,6,9.0,2026-05-25,5.0,0
256,CUST0256,Shahid Hussain,43.0,Male,Faisalabad,Enterprise,5159.16,47,66,3,19.0,2026-05-06,4.4,0
257,CUST0257,Saad Iqbal,34.0,Male,Quetta,Standard,1043.26,20,33,2,22.0,2026-05-01,4.6,0
258,CUST0258,Saima Bhatti,26.0,Female,Peshawar,Enterprise,4514.69,18,28,4,25.0,2026-04-08,4.4,0
259,CUST0259,Tariq Ahmed,,Male,Gujranwala,Standard,1934.87,9,9,3,11.0,2026-06-01,3.3,0
260,CUST0260,Rizwan Sheikh,25.0,Male,Faisalabad,Basic,485.1,16,26,3,21.0,2025-12-07,2.9,1
261,CUST0261,Saima Malik,38.0,Female,Sukkur,Standard,1217.95,11,21,1,13.0,2026-05-30,2.8,0
262,CUST0262,Waqar Mirza,27.0,Male,Larkana,Basic,429.51,11,13,1,14.0,2026-05-23,4.0,1
263,CUST0263,Sara Baig,27.0,Female,Lahore,Basic,605.19,6,5,2,21.0,2026-05-27,3.1,1
264,CUST0264,Faraz Malik,34.0,Male,Islamabad,Basic,415.16,6,9,2,14.0,2026-05-14,2.9,0
265,CUST0265,Hina Rana,41.0,Female,Quetta,Standard,1593.88,19,25,4,26.0,2026-05-12,3.4,0
266,CUST0266,Tariq Chaudhry,49.0,Male,Sukkur,Basic,493.8,8,16,2,13.0,2026-03-03,3.2,0
267,CUST0267,Zara Qureshi,38.0,Female,Rawalpindi,Basic,374.49,15,22,1,25.0,2026-05-28,2.3,1
268,CUST0268,Rida Hashmi,19.0,Female,Lahore,Basic,529.09,5,8,2,23.0,2026-04-15,3.7,0
269,CUST0269,Rizwan Iqbal,41.0,Male,Rawalpindi,Premium,2011.08,4,4,4,0.0,2026-05-30,2.9,1
270,CUST0270,Adnan Mirza,44.0,Male,Rawalpindi,Standard,1193.44,1,1,2,26.0,2026-05-27,3.3,1
271,CUST0271,Rizwan Mirza,18.0,Male,Lahore,Enterprise,4500.27,16,22,1,,2026-05-11,2.4,0
272,CUST0272,Omer Rana,44.0,Male,Karachi,Standard,1251.7,12,18,0,0.0,2026-04-08,5.0,0
273,CUST0273,Fatima Mirza,18.0,Female,Sargodha,Basic,469.85,1,1,2,23.0,2026-05-18,3.0,1
274,CUST0274,Naveed Siddiqui,,Male,Islamabad,Basic,535.85,26,34,3,25.0,2026-05-24,3.6,0
275,CUST0275,Waqar Rana,32.0,Male,Gujranwala,Basic,,58,80,5,8.0,2026-02-22,2.5,1
276,CUST0276,Ayesha Qureshi,45.0,Female,Rawalpindi,Basic,,60,85,0,3.0,2026-05-20,3.1,1
277,CUST0277,Faraz Qureshi,29.0,Male,Hyderabad,Basic,384.53,47,54,1,,2026-05-24,1.0,0
278,CUST0278,Amna Ahmed,59.0,Female,Sargodha,Standard,1110.65,25,42,3,8.0,2026-05-17,5.0,0
279,CUST0279,Faraz Raja,31.0,Male,Lahore,Premium,2796.96,21,27,1,23.0,2026-05-29,3.2,0
280,CUST0280,Farida Baig,37.0,Female,Multan,Enterprise,,6,9,6,18.0,2026-05-29,4.0,0
281,CUST0281,Noor Bhatti,21.0,Female,Faisalabad,Premium,3705.84,2,2,2,17.0,2026-05-29,5.0,0
282,CUST0282,Junaid Nawaz,38.0,Male,Sukkur,Basic,375.82,6,8,2,5.0,2026-05-07,4.2,0
283,CUST0283,Usman Siddiqui,47.0,Male,Gujranwala,Basic,452.89,30,44,2,4.0,2026-04-07,1.0,1
284,CUST0284,Maria Hashmi,28.0,Female,Multan,Standard,887.68,29,51,2,17.0,2026-06-01,5.0,0
285,CUST0285,Rida Ansari,18.0,Female,Faisalabad,Standard,1042.02,3,5,0,19.0,2026-04-30,3.7,0
286,CUST0286,Usman Baig,32.0,Male,Multan,Standard,,14,20,3,12.0,2026-05-17,2.7,0
287,CUST0287,Ahmed Malik,48.0,Male,Sukkur,Standard,,1,1,1,14.0,2026-05-27,3.0,0
288,CUST0288,Bilal Ali,36.0,Male,Rawalpindi,Premium,3009.08,4,13,2,16.0,2026-04-07,4.8,0
289,CUST0289,Lubna Ahmed,18.0,Female,Sialkot,Basic,,44,60,2,2.0,2026-05-31,4.3,0
290,CUST0290,Noor Hashmi,53.0,Female,Sargodha,Basic,430.78,7,12,3,26.0,2026-04-28,4.6,1
291,CUST0291,Saba Siddiqui,40.0,Female,Gujranwala,Basic,384.81,4,4,3,9.0,2026-06-01,3.3,0
292,CUST0292,Hamza Rana,47.0,Male,Hyderabad,Basic,665.54,3,1,2,18.0,2026-03-15,3.1,0
293,CUST0293,Amna Hashmi,,Female,Rawalpindi,Enterprise,4893.78,1,2,1,10.0,2026-05-31,4.5,0
294,CUST0294,Nadia Sheikh,18.0,Female,Islamabad,Premium,3247.47,60,91,3,10.0,2026-05-16,3.6,0
295,CUST0295,Sana Siddiqui,40.0,Female,Gujranwala,Basic,547.0,4,6,0,19.0,2026-05-31,2.7,1
296,CUST0296,Rabia Butt,18.0,Female,Bahawalpur,Premium,2312.59,7,9,1,19.0,2026-05-27,4.2,0
297,CUST0297,Saad Bhatti,29.0,Male,Rawalpindi,Basic,430.54,8,11,0,14.0,2026-04-27,3.1,0
298,CUST0298,Kamran Rana,,Male,Karachi,Basic,386.22,5,11,3,21.0,2026-04-02,5.0,0
299,CUST0299,Asma Malik,31.0,Female,Sialkot,Premium,1587.01,17,24,3,16.0,2026-04-11,3.9,0
300,CUST0300,Uzma Bhatti,52.0,Female,Peshawar,Premium,2647.71,1,1,3,9.0,2026-04-02,4.3,0
301,CUST0301,Bilal Siddiqui,29.0,Male,Gujranwala,Basic,589.47,20,31,3,9.0,2026-04-27,4.2,0
302,CUST0302,Hina Javed,42.0,Female,Gujranwala,Standard,884.1,24,31,0,22.0,2026-05-31,3.8,0
303,CUST0303,Junaid Bhatti,24.0,Male,Larkana,Premium,3124.81,11,24,1,13.0,2026-06-01,3.2,0
304,CUST0304,Imran Butt,22.0,Male,Islamabad,Basic,691.14,14,16,2,16.0,2026-05-08,4.4,0
305,CUST0305,Saima Qureshi,25.0,Female,Sukkur,Basic,500.05,1,1,2,8.0,2026-05-10,4.5,1
306,CUST0306,Hina Qureshi,42.0,Female,Sialkot,Standard,1271.56,28,45,2,8.0,2026-04-30,2.8,0
307,CUST0307,Naveed Iqbal,49.0,Male,Islamabad,Basic,673.48,1,2,2,16.0,2026-05-29,4.1,0
308,CUST0308,Lubna Ahmed,53.0,Female,Sukkur,Premium,2171.52,27,32,2,15.0,2026-04-05,3.2,0
309,CUST0309,Nadia Iqbal,35.0,Female,Peshawar,Standard,1332.97,13,12,2,12.0,2026-05-21,3.3,1
310,CUST0310,Rabia Rana,34.0,Female,Rawalpindi,Premium,2637.37,13,21,1,26.0,2026-04-28,2.6,0
311,CUST0311,Farida Ali,25.0,Female,Bahawalpur,Basic,460.09,18,20,5,6.0,2026-06-01,3.9,0
312,CUST0312,Farida Chaudhry,29.0,Female,Multan,Standard,782.85,17,32,0,30.0,2026-05-09,2.9,0
313,CUST0313,Noor Baig,37.0,Female,Islamabad,Premium,2047.97,14,17,1,,2026-05-24,3.5,0
314,CUST0314,Faraz Hussain,45.0,Male,Quetta,Basic,345.43,41,69,3,19.0,2026-05-08,2.6,0
315,CUST0315,Hassan Ahmed,43.0,Male,Faisalabad,Enterprise,4757.32,1,1,3,24.0,2026-05-14,2.9,0
316,CUST0316,Sara Butt,43.0,Female,Sukkur,Basic,486.3,5,5,1,0.0,2026-05-17,2.8,0
317,CUST0317,Nadia Butt,18.0,Female,Quetta,Enterprise,3644.55,19,28,0,17.0,2026-05-28,3.6,0
318,CUST0318,Uzma Khan,64.0,Female,Lahore,Enterprise,4457.72,15,21,0,7.0,2026-04-23,3.1,0
319,CUST0319,Zubair Iqbal,60.0,Male,Multan,Basic,619.05,36,56,2,21.0,2026-05-17,3.6,0
320,CUST0320,Rabia Javed,25.0,Female,Karachi,Premium,2279.85,2,2,4,30.0,2026-04-10,3.1,0
321,CUST0321,Noor Baig,26.0,Female,Multan,Basic,589.86,50,102,1,18.0,2026-05-06,1.0,1
322,CUST0322,Saad Javed,37.0,Male,Faisalabad,Basic,547.27,11,10,1,28.0,2026-05-18,2.7,0
323,CUST0323,Rida Nawaz,36.0,Female,Lahore,Basic,441.04,41,59,1,17.0,2026-05-06,3.9,0
324,CUST0324,Iqra Javed,48.0,Female,Multan,Premium,2220.34,14,26,4,5.0,2026-05-03,4.0,0
325,CUST0325,Saima Ahmed,,Female,Karachi,Basic,529.27,1,3,1,6.0,2026-05-26,3.3,0
326,CUST0326,Saima Hashmi,29.0,Female,Islamabad,Standard,898.77,1,1,3,9.0,2026-05-30,3.5,0
327,CUST0327,Rida Siddiqui,55.0,Female,Islamabad,Basic,689.73,37,38,0,16.0,2026-05-01,2.2,0
328,CUST0328,Lubna Siddiqui,29.0,Female,Hyderabad,Premium,2910.48,1,0,0,15.0,2026-05-24,2.4,1
329,CUST0329,Uzma Khan,,Female,Multan,Basic,513.1,2,2,0,23.0,2026-05-17,4.9,1
330,CUST0330,Lubna Qureshi,18.0,Female,Sargodha,Premium,2338.28,1,1,0,15.0,2026-04-23,4.0,0
331,CUST0331,Adnan Rana,23.0,Male,Faisalabad,Enterprise,3402.4,4,5,1,8.0,2026-04-17,2.2,0
332,CUST0332,Ali Iqbal,35.0,Male,Quetta,Basic,505.12,4,7,4,9.0,2026-05-16,3.9,0
333,CUST0333,Hina Hussain,18.0,Female,Karachi,Standard,1464.98,13,22,0,24.0,2026-05-13,2.3,0
334,CUST0334,Ahmed Hashmi,18.0,Male,Multan,Standard,947.69,16,25,3,23.0,2026-05-08,2.9,0
335,CUST0335,Junaid Bhatti,45.0,Male,Sargodha,Standard,941.43,15,27,2,11.0,2026-05-05,1.9,0
336,CUST0336,Bilal Bhatti,18.0,Male,Rawalpindi,Standard,1228.69,1,1,1,19.0,2026-05-27,3.6,0
337,CUST0337,Saima Baig,24.0,Female,Multan,Enterprise,4938.16,17,26,2,21.0,2026-05-05,3.7,0
338,CUST0338,Asma Mirza,31.0,Female,Gujranwala,Premium,3155.99,24,46,1,10.0,2026-05-22,2.8,0
339,CUST0339,Rida Rana,,Female,Rawalpindi,Enterprise,6331.34,10,16,0,15.0,2026-05-25,2.2,1
340,CUST0340,Sara Qureshi,26.0,Female,Sargodha,Basic,343.69,30,48,1,30.0,2026-04-30,2.0,1
341,CUST0341,Iqra Rana,40.0,Female,Multan,Standard,1247.75,60,96,1,17.0,2026-05-24,3.3,0
342,CUST0342,Rabia Sheikh,29.0,Female,Sialkot,Standard,1112.21,35,52,3,5.0,2026-02-09,3.1,0
343,CUST0343,Noor Malik,41.0,Female,Faisalabad,Basic,518.75,6,12,2,4.0,2026-05-26,2.9,0
344,CUST0344,Saad Hashmi,36.0,Male,Gujranwala,Basic,507.58,8,16,2,14.0,2026-05-29,2.8,0
345,CUST0345,Shahid Raja,25.0,Male,Larkana,Standard,932.63,29,52,3,17.0,2026-04-28,3.6,0
346,CUST0346,Adnan Iqbal,35.0,Male,Rawalpindi,Basic,291.35,18,27,3,14.0,2026-04-30,3.8,0
347,CUST0347,Kamran Ahmed,43.0,Male,Lahore,Standard,1341.7,52,73,0,,2026-04-29,4.4,0
348,CUST0348,Bilal Khan,41.0,Male,Hyderabad,Enterprise,4632.59,3,4,2,,2026-05-11,2.6,0
349,CUST0349,Uzma Chaudhry,24.0,Female,Sargodha,Enterprise,7294.77,31,54,0,18.0,2026-04-27,4.4,0
350,CUST0350,Usman Iqbal,45.0,Male,Rawalpindi,Standard,1124.38,23,26,1,15.0,2026-05-03,3.7,0
351,CUST0351,Hamza Ansari,24.0,Male,Larkana,Premium,2081.54,51,71,1,15.0,2026-02-10,3.2,0
352,CUST0352,Omer Rana,18.0,Male,Islamabad,Enterprise,3684.18,7,11,3,16.0,2026-05-05,2.9,0
353,CUST0353,Ayesha Khan,18.0,Female,Faisalabad,Standard,771.27,27,34,2,21.0,2026-05-11,2.7,0
354,CUST0354,Rabia Hashmi,45.0,Female,Gujranwala,Standard,798.66,60,88,1,12.0,2026-05-25,2.2,0
355,CUST0355,Rizwan Hashmi,40.0,Male,Faisalabad,Basic,567.96,3,1,3,0.0,2026-05-18,3.7,1
356,CUST0356,Waqar Raja,52.0,Male,Bahawalpur,Basic,580.75,2,0,2,,2026-05-20,3.1,0
357,CUST0357,Lubna Chaudhry,57.0,Female,Islamabad,Standard,1054.71,12,21,3,8.0,2026-06-01,4.8,0
358,CUST0358,Mehwish Bhatti,18.0,Female,Multan,Basic,448.29,30,42,0,7.0,2026-05-25,2.7,0
359,CUST0359,Bilal Rana,18.0,Male,Multan,Enterprise,5471.54,9,12,3,7.0,2026-05-21,2.4,1
360,CUST0360,Sara Hashmi,40.0,Female,Sargodha,Basic,444.94,2,2,3,19.0,2026-05-27,3.1,0
361,CUST0361,Tariq Mirza,53.0,Male,Bahawalpur,Basic,506.86,49,87,2,9.0,2026-05-18,2.0,0
362,CUST0362,Rabia Butt,20.0,Female,Peshawar,Standard,1238.27,21,25,4,9.0,2026-05-18,,0
363,CUST0363,Zara Qureshi,28.0,Female,Multan,Standard,1177.29,5,7,1,14.0,2026-04-18,3.7,0
364,CUST0364,Asad Malik,49.0,Male,Quetta,Premium,1761.97,3,6,1,5.0,2026-05-28,4.8,0
365,CUST0365,Asma Rana,49.0,Female,Sargodha,Standard,1291.14,8,7,1,23.0,2026-04-27,5.0,0
366,CUST0366,Kamran Nawaz,48.0,Male,Sukkur,Premium,2268.53,4,5,1,7.0,2026-05-31,4.6,0
367,CUST0367,Sana Iqbal,18.0,Female,Lahore,Basic,559.13,8,6,1,7.0,2026-05-21,3.5,0
368,CUST0368,Naveed Javed,38.0,Male,Islamabad,Basic,665.36,38,58,1,13.0,2026-05-19,4.1,0
369,CUST0369,Zara Chaudhry,26.0,Female,Bahawalpur,Standard,1486.06,54,88,1,13.0,2026-05-25,1.8,1
370,CUST0370,Ayesha Hashmi,,Female,Islamabad,Standard,1242.13,9,12,2,16.0,2026-04-19,4.3,0
371,CUST0371,Shahid Hashmi,28.0,Male,Gujranwala,Premium,,10,20,6,14.0,2026-04-29,2.9,0
372,CUST0372,Amna Khan,54.0,Female,Bahawalpur,Basic,467.8,7,12,2,22.0,2026-05-13,2.7,1
373,CUST0373,Noor Ali,24.0,Female,Hyderabad,Enterprise,2411.58,41,62,1,13.0,2026-06-01,3.2,0
374,CUST0374,Asad Ahmed,44.0,Male,Faisalabad,Standard,915.01,32,49,6,11.0,2026-03-25,3.7,0
375,CUST0375,Noor Baig,30.0,Female,Quetta,Premium,2113.72,30,47,3,15.0,2026-04-06,3.4,0
376,CUST0376,Sana Javed,31.0,Female,Islamabad,Standard,893.03,3,4,0,19.0,2026-04-04,1.6,1
377,CUST0377,Shahid Baig,26.0,Male,Hyderabad,Basic,689.04,55,83,0,10.0,2026-05-22,3.9,0
378,CUST0378,Ahmed Qureshi,64.0,Male,Quetta,Standard,1500.63,16,18,6,22.0,2026-05-05,5.0,0
379,CUST0379,Sara Hussain,70.0,Female,Quetta,Basic,387.65,7,11,2,28.0,2026-05-15,2.7,0
380,CUST0380,Ali Ansari,40.0,Male,Sialkot,Premium,1648.94,7,10,1,0.0,2026-03-18,3.2,0
381,CUST0381,Kamran Chaudhry,35.0,Male,Lahore,Basic,472.97,24,36,3,0.0,2026-05-30,2.9,1
382,CUST0382,Kamran Ahmed,26.0,Male,Peshawar,Standard,1053.62,12,22,1,14.0,2026-04-07,2.9,0
383,CUST0383,Bilal Bhatti,28.0,Male,Faisalabad,Basic,341.92,1,2,1,13.0,2026-05-29,2.7,0
384,CUST0384,Lubna Nawaz,54.0,Female,Sargodha,Standard,1392.51,6,11,1,16.0,2026-05-11,4.6,0
385,CUST0385,Hina Bhatti,33.0,Female,Rawalpindi,Standard,1294.39,16,33,0,25.0,2026-05-17,3.9,0
386,CUST0386,Junaid Javed,38.0,Male,Quetta,Basic,584.03,41,64,1,16.0,2026-04-29,3.8,0
387,CUST0387,Saima Siddiqui,24.0,Female,Bahawalpur,Standard,1061.77,25,37,1,12.0,2026-05-28,1.5,1
388,CUST0388,Maria Javed,31.0,Female,Quetta,Basic,463.84,26,38,0,14.0,2026-04-12,3.0,0
389,CUST0389,Waqar Ahmed,45.0,Male,Hyderabad,Standard,1219.15,8,16,6,,2026-04-19,2.5,0
390,CUST0390,Omer Hussain,42.0,Male,Faisalabad,Basic,581.12,1,1,4,23.0,2026-05-15,3.0,0
391,CUST0391,Noor Ali,32.0,Female,Hyderabad,Premium,2615.92,53,71,3,9.0,2026-05-31,4.2,0
392,CUST0392,Saba Nawaz,32.0,Female,Sialkot,Basic,311.0,3,2,2,26.0,2026-05-16,4.5,1
393,CUST0393,Asad Chaudhry,26.0,Male,Sukkur,Enterprise,6656.21,12,20,3,16.0,2026-05-06,4.0,0
394,CUST0394,Zubair Chaudhry,39.0,Male,Bahawalpur,Basic,531.17,10,15,2,14.0,2026-05-30,4.6,0
395,CUST0395,Sara Nawaz,18.0,Female,Bahawalpur,Basic,631.96,37,48,1,15.0,2026-05-22,4.0,0
396,CUST0396,Rabia Baig,48.0,Female,Quetta,Standard,1176.48,6,6,2,14.0,2026-05-27,3.8,0
397,CUST0397,Noor Bhatti,33.0,Female,Larkana,Standard,1434.16,22,24,1,11.0,2026-05-14,3.9,0
398,CUST0398,Iqra Chaudhry,19.0,Female,Multan,Basic,693.44,1,1,4,21.0,2026-03-26,3.2,1
399,CUST0399,Bilal Khan,48.0,Male,Faisalabad,Standard,824.24,47,69,2,8.0,2026-05-17,2.5,0
400,CUST0400,Rabia Malik,25.0,Female,Rawalpindi,Basic,514.94,3,4,3,20.0,2026-06-01,3.6,0
401,CUST0401,Asad Javed,35.0,Male,Gujranwala,Enterprise,5558.34,1,1,4,0.0,2026-05-27,4.3,1
402,CUST0402,Uzma Hashmi,65.0,Female,Islamabad,Premium,2479.72,4,8,2,25.0,2026-05-07,3.4,0
403,CUST0403,Shahid Rana,47.0,Male,Islamabad,Enterprise,4453.19,4,3,4,22.0,2026-05-06,3.7,0
404,CUST0404,Rizwan Ahmed,24.0,Male,Sukkur,Premium,3212.25,1,1,4,20.0,2026-02-20,3.2,0
405,CUST0405,Ahmed Ansari,18.0,Male,Islamabad,Premium,2201.79,13,22,1,14.0,2026-05-19,3.0,0
406,CUST0406,Ahmed Chaudhry,33.0,Male,Hyderabad,Standard,721.41,6,11,1,25.0,2026-05-25,4.1,1
407,CUST0407,Uzma Khan,33.0,Female,Karachi,Standard,1489.22,4,3,2,12.0,2026-05-24,2.8,0
408,CUST0408,Rizwan Raja,29.0,Male,Hyderabad,Enterprise,3634.38,21,26,4,13.0,2026-05-23,3.0,1
409,CUST0409,Maria Sheikh,53.0,Female,Larkana,Basic,503.27,35,61,2,2.0,2026-04-27,2.6,1
410,CUST0410,Adnan Bhatti,25.0,Male,Faisalabad,Premium,3018.15,30,41,3,22.0,2026-03-20,5.0,1
411,CUST0411,Sana Mirza,40.0,Female,Peshawar,Standard,1045.06,15,19,3,17.0,2026-05-31,5.0,0
412,CUST0412,Imran Ali,34.0,Male,Gujranwala,Enterprise,3417.82,6,9,3,22.0,2026-05-07,3.9,0
413,CUST0413,Usman Baig,27.0,Male,Peshawar,Basic,709.79,13,12,2,21.0,2026-05-27,4.1,0
414,CUST0414,Hamza Ali,35.0,Male,Quetta,Premium,3026.96,11,10,3,10.0,2026-05-23,3.1,0
415,CUST0415,Lubna Sheikh,41.0,Female,Larkana,Standard,1164.14,16,29,0,8.0,2026-05-02,4.4,1
416,CUST0416,Naveed Rana,24.0,Male,Faisalabad,Basic,403.58,48,78,2,,2026-05-01,4.6,0
417,CUST0417,Asma Iqbal,39.0,Female,Gujranwala,Basic,412.82,60,105,0,22.0,2026-04-26,3.0,0
418,CUST0418,Fatima Chaudhry,26.0,Female,Sialkot,Basic,493.89,10,15,2,12.0,2026-05-19,1.3,0
419,CUST0419,Sana Qureshi,48.0,Female,Islamabad,Standard,1503.71,22,29,0,12.0,2026-05-05,3.6,0
420,CUST0420,Asma Siddiqui,18.0,Female,Peshawar,Premium,1384.77,1,2,3,5.0,2026-05-29,3.7,1
421,CUST0421,Rizwan Mirza,32.0,Male,Karachi,Basic,617.89,7,11,2,11.0,2026-05-31,3.0,0
422,CUST0422,Faraz Nawaz,48.0,Male,Sargodha,Standard,1271.18,1,0,3,4.0,2026-06-01,4.2,0
423,CUST0423,Fatima Raja,43.0,Female,Sargodha,Enterprise,6398.59,15,26,1,,2026-02-23,3.9,0
424,CUST0424,Asma Baig,21.0,Female,Peshawar,Basic,546.58,2,6,3,16.0,2026-05-31,3.4,0
425,CUST0425,Sana Nawaz,20.0,Female,Faisalabad,Premium,2642.9,22,27,2,17.0,2026-05-12,2.9,0
426,CUST0426,Tariq Malik,20.0,Male,Peshawar,Premium,2837.75,3,7,1,3.0,2026-03-19,3.9,1
427,CUST0427,Iqra Mirza,40.0,Female,Lahore,Basic,470.57,1,2,4,10.0,2026-05-30,2.6,0
428,CUST0428,Noor Raja,51.0,Female,Lahore,Basic,464.58,2,2,0,11.0,2026-05-01,,1
429,CUST0429,Asma Javed,58.0,Female,Hyderabad,Standard,1299.64,20,32,0,21.0,2026-05-07,3.4,1
430,CUST0430,Asma Ali,41.0,Female,Sialkot,Standard,989.17,20,33,1,15.0,2026-05-18,3.6,0
431,CUST0431,Fatima Qureshi,22.0,Female,Peshawar,Basic,694.52,10,13,3,8.0,2026-05-30,4.4,1
432,CUST0432,Naveed Bhatti,39.0,Male,Islamabad,Standard,1144.54,18,31,1,25.0,2026-05-28,2.1,1
433,CUST0433,Rabia Raja,28.0,Female,Quetta,Basic,565.54,19,27,0,20.0,2025-12-03,2.9,1
434,CUST0434,Mehwish Qureshi,26.0,Female,Quetta,Premium,2078.3,19,28,1,10.0,2026-05-23,3.2,0
435,CUST0435,Asad Nawaz,29.0,Male,Sialkot,Basic,616.53,1,2,1,12.0,2026-05-31,,1
436,CUST0436,Fatima Baig,37.0,Female,Multan,Premium,2007.73,47,70,3,24.0,2026-05-30,2.1,1
437,CUST0437,Farida Siddiqui,41.0,Female,Peshawar,Premium,1414.21,60,89,4,26.0,2026-05-16,4.8,0
438,CUST0438,Imran Siddiqui,26.0,Male,Sialkot,Enterprise,4330.2,23,31,2,13.0,2026-04-19,4.5,0
439,CUST0439,Maria Baig,35.0,Female,Multan,Basic,469.04,10,15,2,8.0,2026-04-12,4.3,0
440,CUST0440,Lubna Hussain,18.0,Female,Multan,Basic,541.46,4,8,3,30.0,2026-03-19,2.9,0
441,CUST0441,Noor Sheikh,32.0,Female,Larkana,Standard,1533.37,22,34,1,16.0,2026-05-20,3.3,0
442,CUST0442,Shahid Khan,35.0,Male,Bahawalpur,Standard,1349.62,17,26,1,8.0,2026-04-17,5.0,0
443,CUST0443,Rabia Ali,28.0,Female,Sukkur,Premium,2264.34,9,20,2,19.0,2026-05-29,1.9,0
444,CUST0444,Hina Qureshi,19.0,Female,Rawalpindi,Basic,573.16,22,38,2,6.0,2026-01-20,2.7,1
445,CUST0445,Saba Ali,52.0,Female,Quetta,Enterprise,4300.5,20,25,1,6.0,2026-06-01,2.3,0
446,CUST0446,Asma Bhatti,46.0,Female,Larkana,Enterprise,5526.9,2,3,2,19.0,2026-05-17,4.1,0
447,CUST0447,Saad Javed,33.0,Male,Sialkot,Standard,1341.18,26,39,1,10.0,2026-04-13,4.1,0
448,CUST0448,Saad Butt,29.0,Male,Gujranwala,Standard,1384.62,54,61,3,20.0,2026-04-30,3.6,0
449,CUST0449,Iqra Ansari,18.0,Female,Lahore,Basic,,12,18,1,7.0,2026-04-01,4.0,1
450,CUST0450,Waqar Mirza,21.0,Male,Peshawar,Standard,1285.85,59,89,2,0.0,2026-04-20,3.6,0
451,CUST0451,Saad Khan,,Male,Quetta,Basic,391.39,14,13,2,13.0,2026-03-31,3.1,1
452,CUST0452,Hassan Malik,39.0,Male,Multan,Basic,433.91,1,1,2,20.0,2026-03-31,2.5,1
